,District,Area,Latitude,Longitude
0,3,"Alexandra Road, Singapore",1.2780881,103.8029749
1,3," Queenstown, Singapore",1.2946235,103.8060454
2,3," Tiong Bahru, Singapore",1.2861968,103.8257646
3,4,"Keppel, Singapore",1.2748356,103.8295389
4,4," Telok Blangah, Singapore",1.2705858,103.8098632
5,4," Mount Faber, Singapore",1.2711516,103.8194592
6,5," Pasir Panjang, Singapore",1.2888336,103.7756574
7,5," West Coast, Singapore",1.3072301,103.7667284
8,5," Dover, Singapore",1.3114214,103.7786275
9,5,"Buona Vista, Singapore",1.2924602,103.7877731
10,7," Rochor, Singapore",1.3039839,103.8526118
11,7," Bugis, Singapore",1.2994758,103.8550889
12,7," Bencoolen Road, Singapore",1.2990161,103.850475248058
13,7,"Beach Road, Singapore",1.3030517,103.8622669
14,8," Farrer Park, Singapore",1.3127545,103.8543738
15,8,"Little India, Singapore",1.3074571,103.8525724
16,8," Serangoon Road, Singapore",1.3209697,103.862685
17,12," Moulmein, Singapore",1.3193745,103.8535398
18,12,"Balestier, Singapore",1.326226,103.8473149
19,12," Novena, Singapore",1.3200842,103.8434924
20,12," Toa Payoh, Singapore",1.3353906,103.8497414
21,13,"Potong Pasir, Singapore",1.3341893,103.8670929
22,13," Macpherson, Singapore",1.32620695,103.889506953939
23,14," Paya Lebar, Singapore",1.3538993,103.887820526624
24,14," Kembangan, Singapore",1.3210321,103.9129269
25,14," Geylang, Singapore",1.3181862,103.8870563
26,14,"Eunos, Singapore",1.3254059,103.9025597
27,15," Marine Parade, Singapore",1.3026889,103.9073952
28,15," Siglap, Singapore",1.3169991,103.9195871
29,15," Tanjong Rhu, Singapore",1.29734275,103.873764261344
30,15,"Katong, Singapore",1.3057886,103.8976313
31,20," Braddell Road, Singapore",1.3432363,103.8578719
32,20,"Ang Mo Kio, Singapore",1.369842,103.8466086
33,20," Bishan, Singapore",1.3514521,103.8482496
34,20," Thomson, Singapore",1.3777158,103.8295243
